Manga,First Issue,Final Issue,Manga artist
Gakkyū Hōtei (学糾法廷),#1, 2015[77],#24, 2015[78] (completed in Jump Plus),Nobuaki Enoki, Takeshi Obata
Kagamigami (カガミガミ),#11, 2015[79],#51, 2015[80],Toshiaki Iwashiro
Black Clover (ブラッククローバー),#12, 2015[81],present,Yūki Tabata
Cyborg Roggy (改造人間ロギイ, Kaizō Ningen Rogii),#13, 2015[78],#24, 2015[78],Yū Miki
Ultra Battle Satellite (Ultra Battle Satellite),#14, 2015[82],#31, 2015[82],Yūsuke Utsumi
Naruto Side Story: The Seventh Hokage and the Scarlet Spring (NARUTO -ナルト- 外伝 〜七代目火影と緋色の花つ月〜),#22-23, 2015[78],#32, 2015[83],Masashi Kishimoto
Straighten Up! Welcome to Shika High's Competitive Dance Club (背すじをピン!と ～鹿高競技ダンス部へようこそ～),#24, 2015[84],#11, 2017,Takuma Yokota
Lady Justice (レディ・ジャスティス),#25, 2015[85],#41, 2015[86],Ken Ogino
Devily Man (デビリーマン),#26, 2015[86],#42, 2015[86],Kentaro Fukuda
Best Blue (ベストブルー),#33, 2015[87],#52, 2015[88],Masahiro Hirakata
Mononofu (ものの歩),#42, 2015[86],#34, 2016[89],Haruto Ikezawa
Samon-kun wa Summoner (左門くんはサモナー),#43, 2015[86],#27, 2017,Shun Numa
Buddy Strike (バディストライク),#51, 2015[90],#10, 2016[91],Kaito
Yuuna and the Haunted Hot Springs (ゆらぎ荘の幽奈さん, Yuragi-sō no Yūna-san),#10, 2016[91],present,Tadahiro Miura
Demon Slayer: Kimetsu no Yaiba (鬼滅の刃, Kimetsu no Yaiba),#11, 2016[91],present,Koyoharu Gotōge
Boruto: Naruto Next Generations (BORUTO -ボルト- -NARUTO NEXT GENERATIONS-),#23, 2016[92],present,Mikio Ikemoto, Ukyo Kodachi
Takuan to Batsu no Nichijō Enma-chō (たくあんとバツの日常閻魔帳),#24, 2016[93],#44, 2016,Kentaro Itani
The Promised Neverland (約束のネバーランド),#35, 2016[89],present,Kaiu Shirai, Posuka Demizu
Love Rush! (ラブラッシュ!),#38, 2016[89],#50, 2016,Ryohei Yamamoto
Red Sprite (レッドスプライト),#39, 2016[89],#52, 2016,Tomohiro Yagi
Ibitsu no Amalgam (歪のアマルガム),#45, 2016,#12, 2017,Ryō Ishiyama
Spring Weapon Number One (青春兵器ナンバーワン),#46, 2016,#14, 2018,Tomohiro Hasegawa
Demon's Plan (デモンズプラン),#51, 2016,#12, 2017,Yoshimichi Okamoto
Ole Golazo (オレゴラッソ),#52, 2016,#13, 2017,Takamasa Moue
We Never Learn (ぼくたちは勉強ができない, Bokutachi wa Benkyō ga Dekinai),#10, 2017,present,Taishi Tsutsui
U19 (U19),#11, 2017,#28, 2017,Yūji Kimura
Poro no Ryūgakuki (ポロの留学記),#12, 2017,#29, 2017,Hitsuji Gondaira
Harapeko no Marie (腹ペコのマリー),#13, 2017,#46, 2017,Ryūhei Tamura
Dr. Stone (Dr.STONE),#14, 2017,present,Riichiro Inagaki, Boichi
Robot x LaserBeam (ROBOT×LASERBEAM),#16, 2017,present,Tadatoshi Fujimaki
Shūdan! (シューダン!),#28, 2017,#6, 2018,Takuma Yokota
Cross Account (クロスアカウント),#29, 2017,#7, 2018,Tsunehiro Date
Tomatoypoo no Lycopene (トマトイプーのリコピン),#45, 2017,present,Kōji Ōishi
Full Drive (フルドライブ),#47, 2017,#12, 2018,Genki Ono
Golem Hearts (ゴーレムハーツ),#48, 2017,#12, 2018,Gen Ōsuka
Bozebeats (BOZEBEATS),#7, 2018,#20, 2018,Ryōji Hirano
Act-Age (アクタージュ act-age),#8, 2018,present,Tatsuya Matsuki, Shiro Usazaki
Jujutsu Kaisen (呪術廻戦),#14, 2018,present,Gege Akutami
Noah's Notes (ノアズノーツ),#15, 2018,present,Haruto Ikezawa
Ziga (ジガ-ZIGA-),#16, 2018,present,Rokurō Sano, Kentarō Hidano
Momiji no Kisetsu (紅葉の棋節),#24, 2018,present,Masayoshi Satoshō
Kimi o Shinrayku Seyo! (キミを侵略せよ!),#25, 2018,present,Kazusa Inaoka
