Manga,First Issue ,Final Issue ,Mangaka
Kaze! Hana! Tatsu! (風!花!龍!),#3 1974,#31 1974,Satoshi Ikezawa 
Pink! Punch! Tadashi (ピンク!パンチ!雅),#4-5 1974,#17 1974,Buronson  Goro Sakai
Dohazure Tenkaichi (どはずれ天下一),#6-7 1974,#35 1974,George Akiyama 
Moero! Benten (もえろ!弁天),#32 1974,#2 1975,Nao Miyanobu 
Yokai Hunter (妖怪ハンター),#37 1974,#41 1974,Daijirō Morohoshi 
Sukeban Arashi (スケ番あらし),#39 1974,#42 1975,Masami Kurumada 
Goronbo Isha (ごろんぼ医者),#42 1974,#51 1974,Yoshinori Takayama 
Honō no Kyojin (炎の巨人),#43 1974,#47 1975,Shirō Mitsue  Ryoji Ryuzaki
Tomodachi Gakuen (友だち学園),#44 1974,#48 1974,Saburō Ishikawa 
Circuit no Ōkami (サーキットの狼),#1 1975,#32 1979,Satoshi Ikezawa 
Kawaī Gambler (かわいいギャンブラー),#2 1975,#40 1975,Kazuyoshi Katsuki 
Hana Mo Arashi Mo (花も嵐も),#3-4 1975,#38 1975,Ikki Kajiwara  Noboru Kawasaki
Tora no Racer (虎のレーサー),#21 1975,#34 1975,Motoka Murakami 
Yūjō Gakuen (友情学園),#35 1975,#37 1975,Kontarō 
Doberman Deka (ドーベルマン刑事),#36 1975,#48 1979,Buronson  Shinji Hiramatsu
Gakuen Yorozuya (学園よろず屋),#40 1975,#3-4 1976,Yoshinori Takayama 
Edokko Taa-chan (江戸っ子辰ちゃん),#41 1975,#43 1975,Wataru Sagawa 
Zero no Shirataka (ゼロの白鷹),#42 1975,#25 1976,Hiroshi Motomiya 
1•2 no Ahho!! (1・2のアッホ!!),#43 1975,#21 1978,Kontarō 
