Manga,First Issue ,Final Issue ,Mangaka  
Hisoka♥Returns! (密♥リターンズ!),#10 1995,#19 1996,Ken Yagami  
Jinnai Ryūjujutsu Butōden Majima-kun Suttobasu!! (陣内流柔術武闘伝 真島クンすっとばす!!),#11 1995,#8 1998,Makoto Niwano  
Genki Yade (元気やでっ),#14 1995,#24 1995,Mamoru Tsuchiya  Ryūji Tsugihara  Junji Yamamoto
Takiryū Hoshi (猛き龍星),#21-22 1995,#48 1995,Tetsuo Hara  
Karakurizōshi Ayatsuri Sakon (人形草紙あやつり左近),#23 1995,#1 1996,Sharaku Marō  Takeshi Obata 
Ryūdō no Sieg (竜童のシグ),#24 1995,#36-37 1995,Takashi Noguchi  
Shadow Lady (SHADOW LADY),#31 1995,#2 1996,Masakazu Katsura  
Mōtōru Commando Guy (モートゥルコマンドーGUY),#32 1995,#44 1995,Shinichi Sakamoto  
Hoshi wo Tsugu Mono (惑星をつぐ者),#41 1995,#49 1995,Takanobu Toda  
Level E (レベルE),#42 1995,#3-4 1997,Yoshihiro Togashi  
Mizu no Tomodachi Kappaman (水のともだちカッパーマン),#45 1995,#30 1996,Masaya Tokuhiro  
Kaosu Kansōya (かおす寒鰤屋),#51 1995,#9 1996,Ton Ōkawara  
Sexy Commando Gaiden: Sugoi yo!! Masaru-san (セクシーコマンドー外伝 すごいよ!!マサルさん),#52 1995,#40 1997,Kyosuke Usuta  
Wild Half (WILD HALF),#3-4 1996,#52 1998,Yūko Asami  
Oni ga Kitarite (鬼が来たりて),#5-6 1996,#18 1996,Gin Shinga  
Makuhari (幕張),#11 1996,#49 1997,Yasuaki Kita  
Jinkōen-dan Shinshiroku (神光援団紳士録),#12 1996,#29 1996,Yasuteru Iwada  
Diamond (ダイヤモンド),#21 1996,#39 1996,Yoshihiro Yanagawa  
K.O. Masatome (K.O.マサトメ),#22-23 1996,#30 1996,Shinnosuke Enda  
Hoshin Engi (封神演義),#28 1996,#47 2000,Ryu Fujisaki  
Doruhira (ドルヒラ),#32 1996,#46 1996,Yukihiro Inoue  
Shinri Sōsakan Kusagiki (心理捜査官 草薙葵),#33 1996,#5-6 1997,Keiichirō Nakamaru  Mori Takashimi  Kaoru Tsugishima
Yu-Gi-Oh! (遊☆戯☆王),#42 1996,#15 2004,Kazuki Takahashi  
Majojō ViVian (魔女娘ViVian),#49 1996,#43 1997,Yukata Takahashi  
Be Takuto!! ~Yaban Nare~ (BE TAKUTO!! 〜野蛮なれ〜),#50 1996,#19 1997,Takashi Noguchi  
Bastard!! -Ankoku no Hakaishin- (Corrupt Law Arc) (BASTARD!! -暗黒の破壊神-(背徳の掟編)),#5-6 1997,#36-37 2000,Kazushi Hagiwara  
Watashi no Kaeru-sama (私のカエル様),#10 1997,#22-23 1997,Yūki Nakajima  
Hanasaka Tenshi Tenten-kun (花さか天使テンテンくん),#11 1997,#30 2000,Kazumata Oguri  
Butsu Zone (仏ゾーン),#12 1997,#31 1997,Hiroyuki Takei  
"I""s (I”S<アイズ>)",#19 1997,#24 2000,Masakazu Katsura  
Wrestling With Momoko (Wrestling with もも子),#20 1997,#39 1997,Masaya Tokuhiro  
Merry Wind (Merry Wind),#21 1997,#32 1997,Junji Yamamoto  
Joka JOKER (女娲JOKER),#32 1997,#47 1997,Kazutoshi Yamane  
Seikimatsu Leader-den Takeshi! (世紀末リーダー伝たけし!),#33 1997,#37-38 2002,Mitsutoshi Shimabukuro  
One Piece (ONE PIECE),#34 1997,Present,Eiichiro Oda
Cool -Rental Body Guard- (COOL - RENTAL BODY GUARD -),#40 1997,#7 1998,Takeshi Konomi  
Kirin ~The Last Unicorn~ (きりん 〜The Last Unicorn〜),#41 1997,#10 1998,Ken Yagami  
Cowa! (COWA!),#48 1997,#15 1998,Akira Toriyama  
Meiryotei Gotoseijuro (明稜帝 梧桐勢十郎),#52 1997,#52-53 1999,Hajime Kazu  
Ei-Row (画-ROW),#1 1998,#11 1998,Akitsugu Mizumoto  
Rookies (ROOKIES),#10 1998,#39 2003,Masanori Morita  
Shōnen Tantei Q (少年探偵Q),#11 1998,#26 1998,Enjin  Gin Shinga 
Kappa Revolution (河童レボリューション),#12 1998,#32 1998,Ishitori Yoshiyamate  
Whistle! (ホイッスル!),#13 1998,#45 2003,Daisuke Higuchi  
Hunter × Hunter (HUNTER×HUNTER),#14 1998,present/ irregularly,Yoshihiro Togashi
Shaman King (シャーマンキング),#31 1998,#40 2004,Hiroyuki Takei  
Kajika (カジカ),#32 1998,#44 1998,Akira Toriyama  
Base Boys (Base Boys),#33 1998,#51 1998,Makoto Niwano  
Boku wa Shōnen Tantei Dan♪♪ (僕は少年探偵ダン♪♪),#43 1998,#11 1999,Hiroshi Gamō  
Rising Impact (ライジングインパクト),#52 1998,#12 2002,Nakaba Suzuki  
Shinkaigyo (SHINKAIGYO),#1 1999,#12 1999,Kanako Tanaka  
Hikaru no Go (ヒカルの碁),#2-3 1999,#22-23 2003,Yumi Hotta  Takeshi Obata  Yukari Umezawa
Yamato Gensōki (邪馬台幻想記),#12 1999,#29 1999,Kentaro Yabuki  
Shūkyū-den: Field no Ōkami FW Jin (-蹴球伝- フィールドの狼FW陣),#13 1999,#30 1999,Yoichi Takahashi  
Daisuō -Dice King- (大好王 -ダイスキング-),#14 1999,#31 1999,Munenori Michimoto  
Bushizawa Receive (武士沢レシーブ),#18 1999,#40 1999,Kyosuke Usuta  
Mahhaheddo (マッハヘッド),#19 1999,#32 1999,Hidebu Takahashi  
Survibee (サバイビー),#31 1999,#51 1999,Tsunomaru  
The Prince of Tennis (テニスの王子様),#32 1999,#14 2008,Takeshi Konomi  
Childragon (CHILDRAGON),#33 1999,#45 1999,Naoki Azuma (as Keishin Azuma)  
ZombiePowder. (ZOMBIEPOWDER.),#34 1999,#11 2000,Tite Kubo  
Naruto (NARUTO―ナルト―),#43 1999,#50 2014,Masashi Kishimoto  
Romancers (Romancers),#44 1999,#12 2000,Yūko Asami  
